time,timestamp,frontend_currencyservice,checkoutservice_cartservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,frontend_recommendationservice,checkoutservice_emailservice,adservice_mysql,frontend_adservice,checkoutservice_currencyservice,recommendationservice_productcatalogservice,frontend_shippingservice,gateway_nats,cartservice_redis-cart,frontend_checkoutservice,frontend_productcatalogservice,frontend_cartservice,checkoutservice_shippingservice,productcatalogservice_mysql
2022-08-21 08:06:59.945751487 +0000 UTC m=+0.753573847,1661069219,0.0375,0.003,0.0031666666666666666,0.003,0.018671875,0.004,6.888,0.016807692307692308,0.05416666666666666,0.003269938650306748,0.0031333333333333335,0.0228,0.6992,0.375,0.003143847487001733,0.0031904761904761906,0.003,15.853733333333334
2022-08-21 08:07:59.638689087 +0000 UTC m=+60.446511462,1661069279,0.05423728813559322,0.003,0.003,0.003,0.018076923076923077,,1.68,0.0185,0.175,0.0033209876543209877,,0.0228,0.18853333333333333,0.01875,0.0031232227488151663,0.003,0.003,2.6249333333333333
2022-08-21 08:08:59.692367798 +0000 UTC m=+120.500190158,1661069339,0.008043478260869567,0.003,0.003,0.003,0.018653846153846153,0.0175,1.68,0.0175,0.0075,0.0035714285714285713,,0.0228,0.16526666666666667,0.025,0.003076923076923077,0.003057142857142857,0.003,2.6313333333333335
2022-08-21 08:09:59.793276294 +0000 UTC m=+180.601098654,1661069399,0.0044666666666666665,0.0036666666666666666,0.005,0.003,0.025,0.003,1.68,0.019,0.003,0.009642857142857142,,0.0228,0.15633333333333335,0.0375,0.0065760869565217395,0.0032222222222222222,0.003,2.752
2022-08-21 08:10:59.753403513 +0000 UTC m=+240.561225887,1661069459,0.004387559808612441,0.003,0.0075,0.003,0.021886792452830185,0.003,8.064,0.019852941176470587,0.00325,0.006634615384615383,0.003,0.0228,0.6712,0.175,0.0045698324022346365,0.0030504201680672267,0.003,14.672133333333333
2022-08-21 08:11:59.814475522 +0000 UTC m=+300.622297882,1661069519,0.00434468085106383,0.003,0.0036666666666666666,0.003,0.020772727272727273,0.0035,6.888,0.017333333333333336,0.00475,0.005961538461538462,0.003181818181818182,0.0228,0.6746666666666666,0.175,0.004280453257790368,0.003017543859649123,0.003,14.689866666666667
2022-08-21 08:12:59.815141164 +0000 UTC m=+360.622963525,1661069579,0.00404390243902439,0.003,0.003999999999999999,0.003,0.02161764705882353,0.0035,8.232,0.019533898305084747,0.0046,0.007,0.003142857142857143,0.0228,0.5446666666666666,0.19375,0.004807580174927113,0.0030202020202020202,0.002777777777777778,13.983066666666668
2022-08-21 08:13:59.990227986 +0000 UTC m=+420.798050354,1661069639,0.0042727272727272735,0.003,0.004333333333333334,0.003,0.02291666666666667,0.0034000000000000002,7.98,0.018850000000000002,0.0042727272727272735,0.005775862068965517,0.003,0.0228,0.6984,0.175,0.004434666666666667,0.0030499999999999998,0.003,15.7132
2022-08-21 08:14:59.853401152 +0000 UTC m=+480.661223512,1661069699,0.0071590909090909136,0.003,0.0053125,0.003,0.02355769230769231,0.0035,7.896,0.019056603773584903,0.0035454545454545456,0.006973684210526316,0.003,0.0228,0.7086666666666667,0.5,0.005127551020408164,0.003,0.003,15.611733333333333
2022-08-21 08:15:59.798971179 +0000 UTC m=+540.606793541,1661069759,0.004351351351351351,0.003,0.01,0.003,0.12499999999999992,0.003,6.384,0.017924528301886792,0.005,0.006810344827586207,0.003,0.0228,0.5499333333333333,0.3125,0.004745222929936305,0.0030388349514563107,0.003,12.543866666666666
