time,timestamp,frontend_currencyservice,checkoutservice_cartservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,frontend_recommendationservice,checkoutservice_emailservice,adservice_mysql,frontend_adservice,checkoutservice_currencyservice,recommendationservice_productcatalogservice,frontend_shippingservice,gateway_nats,cartservice_redis-cart,frontend_checkoutservice,frontend_productcatalogservice,frontend_cartservice,checkoutservice_shippingservice,productcatalogservice_mysql
2022-08-21 08:16:59.855212832 +0000 UTC m=+600.663035192,1661069819,0.006337209302325579,0.003,0.025,0.003,0.4042553191489362,0.003,6.552,0.018812499999999996,0.007500000000000002,0.3616071428571429,0.002904761904761905,0.0228,0.6066,0.25,0.05384615384615385,0.003061855670103093,0.0028461538461538463,12.739733333333334
2022-08-21 08:17:59.756654948 +0000 UTC m=+660.564477308,1661069879,0.004766666666666667,0.003,0.025,0.003,0.35344827586206895,0.004,6.216,0.018392857142857138,0.017499999999999995,0.33636363636363636,0.0030833333333333333,0.0228,0.518,0.5,0.0530940594059406,0.003044943820224719,0.003,12.484266666666667
2022-08-21 08:18:59.702623802 +0000 UTC m=+720.510446169,1661069939,0.004238095238095238,0.0032857142857142855,0.0036666666666666666,0.003,0.07499999999999991,0.003,7.14,0.018349056603773582,0.004714285714285714,0.37745098039215685,0.003,0.0228,0.5554666666666667,0.25,0.061704545454545456,0.00301980198019802,0.003,13.7652
2022-08-21 08:19:59.711781193 +0000 UTC m=+780.519603553,1661069999,0.004239024390243902,0.003,0.00625,0.003,0.02159090909090909,0.0036666666666666666,8.484,0.01762931034482759,0.004333333333333333,0.007297297297297297,0.003,0.0228,0.6378666666666667,0.1375,0.005888278388278388,0.003017699115044248,0.003,15.283866666666666
2022-08-21 08:20:59.79355122 +0000 UTC m=+840.601373581,1661070059,0.004683673469387755,0.003,0.004200000000000001,0.003,0.02118181818181818,0.005,7.728,0.01795918367346939,0.00625,0.006250000000000001,0.003064516129032258,0.0228,0.6430666666666667,0.175,0.004668478260869565,0.0031403508771929824,0.0034000000000000002,15.481866666666667
2022-08-21 08:21:59.798562969 +0000 UTC m=+900.606385329,1661070119,0.004788018433179724,0.003,0.004333333333333333,0.003,0.022,0.003,8.148,0.018529411764705885,0.0625,0.005803571428571428,0.003,0.0228,0.6176666666666666,0.175,0.004770491803278689,0.00305607476635514,0.0027142857142857142,14.848133333333333
2022-08-21 08:22:59.695610939 +0000 UTC m=+960.503433300,1661070179,0.004666666666666667,0.0035,0.00625,0.003,0.022205882352941173,0.003,7.98,0.017627118644067796,0.0046,0.008214285714285716,0.003,0.0228,0.7185333333333334,0.2,0.00529535864978903,0.003,0.003,15.919733333333333
2022-08-21 08:23:59.841450482 +0000 UTC m=+1020.649272842,1661070239,0.004208333333333334,0.003,0.0075,0.003,0.023563829787234043,0.0034000000000000002,8.064,0.01891509433962264,0.005,0.007419354838709678,0.003,0.0228,0.6193333333333334,0.2125,0.0058220720720720725,0.003034782608695652,0.003,14.540133333333333
2022-08-21 08:24:59.755765063 +0000 UTC m=+1080.563587424,1661070299,0.003456375838926175,0.003,0.0075,,0.02159090909090909,0.003,1.68,0.0175,,0.006818181818181819,,0.0228,0.1608,0.0375,0.005882352941176471,0.003,0.003,2.534733333333333
2022-08-21 08:26:00.091859537 +0000 UTC m=+1140.899681898,1661070360,0.0037096774193548384,0.003,0.004333333333333333,0.003,0.02431818181818182,,1.596,0.0175,0.003,0.007916666666666666,,0.0228,0.20593333333333333,0.0225,0.005585106382978722,0.003054054054054054,0.003,2.9244666666666665
2022-08-21 08:27:00.196434249 +0000 UTC m=+1201.004256610,1661070420,0.003642857142857143,0.003,0.004,0.003,0.019375,0.0175,1.428,0.016875,0.005,0.005,,0.0228,0.15233333333333335,0.03125,0.005049019607843136,0.0030689655172413794,0.003,2.6330666666666667
2022-08-21 08:27:59.99419994 +0000 UTC m=+1260.802022300,1661070479,0.0046355140186915885,0.003,0.003,0.003,0.022647058823529412,,7.98,0.017794117647058825,0.004142857142857143,0.007034883720930233,0.002916666666666667,0.0228,0.6575333333333333,0.175,0.004702970297029703,0.0030341880341880345,0.003,15.105733333333333
2022-08-21 08:28:59.899445417 +0000 UTC m=+1320.707267778,1661070539,0.00395852534562212,0.003,0.005,0.003,0.02429245283018868,0.003,7.644,0.017916666666666668,0.004200000000000001,0.008796296296296297,0.003076923076923077,0.0228,0.6838,0.25,0.0061757990867579915,0.003033613445378151,0.003,16.333466666666666
2022-08-21 08:29:59.722349635 +0000 UTC m=+1380.530171995,1661070599,0.003962025316455696,0.003,0.005,0.003,0.021727272727272727,0.0034000000000000002,7.308,0.018349056603773582,0.01749999999999999,0.008484848484848484,0.0031111111111111114,0.0228,0.6294666666666667,0.2,0.006520408163265307,0.003,0.003,14.482666666666667
2022-08-21 08:30:59.842404124 +0000 UTC m=+1440.650226489,1661070659,0.004689320388349514,0.003,0.007916666666666667,0.003,0.021547619047619048,0.003,8.232,0.019,0.003842105263157895,0.0071951219512195125,0.002925925925925926,0.0228,0.7967333333333333,0.2125,0.005823170731707317,0.003066115702479339,0.003,17.968533333333333
2022-08-21 08:31:59.767639114 +0000 UTC m=+1500.575461475,1661070719,0.004392156862745099,0.003,0.005,0.003,0.021651785714285714,0.003,8.148,0.019204545454545453,0.05,0.005178571428571429,0.003,0.0228,0.7562666666666666,0.21249999999999997,0.004271186440677965,0.0030512820512820517,0.0032222222222222222,16.085066666666666
2022-08-21 08:32:59.806112426 +0000 UTC m=+1560.613934794,1661070779,0.004033492822966507,0.003,0.0035714285714285713,0.003,0.020677966101694912,0.0034000000000000002,7.98,0.017644230769230766,0.0046,0.00825,0.003090909090909091,0.0228,0.5824666666666667,0.2125,0.006527149321266968,0.003,0.003,14.174666666666665
2022-08-21 08:33:59.727976636 +0000 UTC m=+1620.535798996,1661070839,0.004522935779816514,0.003,0.005555555555555557,0.003,0.023953488372093025,0.003,7.476,0.018529411764705885,0.0175,0.006583333333333333,0.0030952380952380953,0.0228,0.6671333333333334,0.25,0.005068181818181818,0.003074766355140187,0.003,14.040533333333332
2022-08-21 08:34:59.702709049 +0000 UTC m=+1680.510531409,1661070899,0.004097087378640777,,,,0.02029661016949152,,7.392,0.018166666666666664,,0.007071428571428572,0.003,0.0228,0.5667333333333333,,0.004874074074074074,0.00301980198019802,,13.895066666666667
2022-08-21 08:35:59.890120925 +0000 UTC m=+1740.697943286,1661070959,0.004560000000000001,0.003,0.006666666666666666,0.003,0.0222093023255814,0.003,7.308,0.018169642857142853,0.00425,0.00826923076923077,0.003,0.0228,0.466,0.25,0.006341807909604519,0.003021276595744681,0.003,12.04
2022-08-21 08:36:59.61817854 +0000 UTC m=+1800.426000900,1661071019,0.004089201877934272,0.003,0.005,0.003,0.022548076923076924,0.003333333333333333,7.224,0.017375,0.003833333333333333,0.005948275862068966,0.0030952380952380953,0.0228,0.6505333333333333,0.25,0.004614678899082568,0.0030357142857142857,0.003,15.574133333333334
2022-08-21 08:37:59.850739787 +0000 UTC m=+1860.658562147,1661071079,0.004057142857142857,0.0032857142857142855,0.0036666666666666666,0.003,0.021886792452830185,0.0035,7.896,0.0196875,0.0036153846153846154,0.006578947368421052,0.003064516129032258,0.0228,0.5977333333333333,0.3125,0.004518207282913165,0.003,0.003,14.678533333333332
2022-08-21 08:38:59.725039942 +0000 UTC m=+1920.532862304,1661071139,0.0039865470852017935,0.0032857142857142855,0.0041111111111111105,0.003,0.021188524590163935,0.004,7.98,0.017636363636363638,0.00375,0.006515151515151515,0.003,0.0228,0.6538666666666667,0.25,0.004816393442622952,0.003033613445378151,0.003,15.671333333333333
2022-08-21 08:39:59.87002815 +0000 UTC m=+1980.677850516,1661071199,0.0044083333333333335,0.003,0.008333333333333333,0.003,0.022,0.003,8.064,0.01921875,0.0046,0.008529411764705883,0.003,0.0228,0.5125333333333333,0.19375,0.006530612244897959,0.003,0.003,13.430933333333332
2022-08-21 08:40:59.778473157 +0000 UTC m=+2040.586295517,1661071259,0.0046683417085427135,0.005,0.005,0.003,0.021527777777777778,0.003,7.98,0.018671875,0.0045,0.00775,0.0028947368421052633,0.0228,0.5695333333333333,0.25,0.006022099447513813,0.00316,0.003,13.864533333333332
2022-08-21 08:42:00.06265149 +0000 UTC m=+2100.870473852,1661071320,0.0042772277227722776,0.003,0.0075,0.003,0.02223684210526316,0.003,,0.00025892857142857146,0.004636363636363636,0.007321428571428571,0.003,0.0228,0.5555333333333333,0.175,0.005803571428571429,0.00306,0.0027142857142857142,14.570666666666666
2022-08-21 08:42:59.963406023 +0000 UTC m=+2160.771228411,1661071379,0.004560000000000001,0.0034000000000000002,0.005833333333333333,0.003,0.02564102564102564,0.004,,0.5297619047619048,0.0045,0.0075,0.0031000000000000003,0.0228,0.4921333333333333,0.175,0.0056125,0.003087912087912088,0.003,12.350133333333334
2022-08-21 08:43:59.873378961 +0000 UTC m=+2220.681201321,1661071439,0.006428571428571429,0.003,0.007045454545454545,0.003,0.02238095238095238,0.0036666666666666666,8.232,0.02423076923076923,0.005,0.0080625,0.003,0.0228,0.8997333333333334,0.625,0.005214285714285715,0.003015151515151515,0.003,19.141599999999997
2022-08-21 08:44:59.92099185 +0000 UTC m=+2280.728814216,1661071499,0.004356435643564357,0.003,0.0036666666666666666,0.003,0.021491935483870968,0.003,7.812,0.02033018867924528,0.003333333333333333,0.007094594594594595,0.003,0.0228,0.6785333333333333,0.19375,0.0046448087431693996,0.003033898305084746,0.003,15.847333333333333
2022-08-21 08:45:59.913240794 +0000 UTC m=+2340.721063154,1661071559,0.004400881057268723,0.0032857142857142855,0.005,0.003,0.02267857142857143,0.0036666666666666666,7.224,0.020471698113207544,0.0045,0.0074305555555555566,0.003,0.0228,0.5497333333333333,0.25,0.005718623481781377,0.003,0.002666666666666667,12.161333333333333
2022-08-21 08:46:59.892455849 +0000 UTC m=+2400.700278210,1661071619,0.006153846153846154,0.003,0.01,0.003,0.023206521739130438,0.003,8.064,0.02203125,0.004,0.006985294117647059,0.003,0.0228,0.6852,0.375,0.004886435331230284,0.003016949152542373,0.003,14.892133333333334
2022-08-21 08:47:59.754322252 +0000 UTC m=+2460.562144613,1661071679,0.004712871287128714,0.003,0.006875,0.003,0.021313559322033895,0.003,7.896,0.135,0.004428571428571428,0.0077631578947368425,0.003,0.0228,0.7008666666666666,0.1625,0.0061121323529411764,0.0030350877192982456,0.0028461538461538463,16.4016
2022-08-21 08:48:59.838736502 +0000 UTC m=+2520.646558862,1661071739,0.004778894472361809,0.003,0.00875,0.0036666666666666666,0.023465909090909086,0.003,8.316,0.09642857142857139,0.0035714285714285713,0.007983870967741936,0.00292,0.0228,0.7183999999999999,0.175,0.005052742616033756,0.003178217821782178,0.003,14.608266666666667
2022-08-21 08:49:59.872679775 +0000 UTC m=+2580.680502134,1661071799,0.004803108808290156,0.003,0.0067857142857142855,0.003,0.023902439024390244,0.0035,7.476,0.05625000000000002,0.01375,0.005948275862068965,0.003,0.0228,0.6597999999999999,0.175,0.005401785714285714,0.003058823529411765,0.003,14.046933333333332
2022-08-21 08:50:59.663367331 +0000 UTC m=+2640.471189692,1661071859,0.008522727272727272,0.0031176470588235292,0.007727272727272727,0.003,0.0215,0.003,7.728,0.036363636363636355,0.007500000000000009,0.008295454545454547,0.0030625,0.0228,0.7188666666666667,0.19,0.005319148936170213,0.0030892857142857146,0.002857142857142857,15.7196
2022-08-21 08:51:59.900778426 +0000 UTC m=+2700.708600786,1661071919,0.004055555555555555,0.003,0.0085,0.003,0.021315789473684208,0.003,7.392,0.01875,0.005,0.007865853658536585,0.003,0.0228,0.658,0.175,0.005422374429223745,0.003017391304347826,0.0032222222222222222,15.704
2022-08-21 08:52:59.68575764 +0000 UTC m=+2760.493580016,1661071979,0.01515625,0.0032857142857142855,0.004,0.003,0.023125,0.004,7.644,0.021079545454545455,0.005,0.006590909090909092,0.003,0.0228,0.6378666666666667,0.375,0.005234375,0.003,0.003,14.520266666666666
2022-08-21 08:53:59.949889398 +0000 UTC m=+2820.757711759,1661072039,0.004,0.003,0.0075,0.003,0.021125,0.003,7.644,0.01919811320754717,0.0032222222222222222,0.0078125,0.003,0.0228,0.6341333333333333,0.175,0.005874558303886926,0.0030869565217391303,0.003,15.466266666666666
2022-08-21 08:54:59.836135159 +0000 UTC m=+2880.643957521,1661072099,0.0042452830188679245,0.003,0.005833333333333333,0.003,0.019179104477611935,0.003,8.4,0.018452380952380953,0.017500000000000005,0.008205128205128207,0.003,0.0228,0.6542,0.25,0.0060931899641577065,0.003036036036036036,0.003,14.320133333333333
2022-08-21 08:56:00.001884163 +0000 UTC m=+2940.809706553,1661072160,0.004647058823529412,0.003,0.00575,0.003,0.019115384615384614,0.003,8.568,0.019210526315789473,0.03750000000000002,0.006829268292682927,0.003,0.0228,0.6855333333333333,0.25,0.005374087591240876,0.0030517241379310347,0.003,16.265333333333334
2022-08-21 08:56:59.815154574 +0000 UTC m=+3000.622976933,1661072219,0.004428571428571428,0.0036666666666666666,0.006250000000000001,0.003,0.020972222222222222,0.003,7.476,0.024,0.06346153846153846,0.006293103448275862,0.003,0.0228,0.5578666666666666,0.25,0.005448979591836734,0.00301980198019802,0.003,13.914933333333332
2022-08-21 08:57:59.965272154 +0000 UTC m=+3060.773094538,1661072279,0.0040917874396135265,,0.0175,,0.023035714285714284,0.004,7.728,0.0229375,,0.007222222222222222,0.0029,0.0228,0.5362,0.175,0.005665680473372782,0.003,0.003,13.166933333333333
2022-08-21 08:58:59.808091816 +0000 UTC m=+3120.615914176,1661072339,0.004522842639593909,0.003181818181818182,0.006388888888888889,0.003,0.02536764705882353,0.0036666666666666666,8.652,0.019948979591836734,0.004,0.0098,0.003,0.0228,0.7036,0.2,0.006803097345132744,0.003054054054054054,0.003,15.633733333333334
2022-08-21 08:59:59.927628693 +0000 UTC m=+3180.735451053,1661072399,0.023874999999999987,0.003,0.004636363636363636,0.003,0.023529411764705882,0.003,7.476,0.019764150943396223,0.04375,0.007884615384615386,0.003,0.0228,0.7651333333333333,0.165625,0.006459016393442624,0.0030666666666666668,0.0028823529411764704,16.091466666666665
2022-08-21 09:00:59.953640939 +0000 UTC m=+3240.761463299,1661072459,0.00460352422907489,0.003,0.006875,0.003,0.02330188679245283,0.003,8.652,0.01881578947368421,0.0045,0.007678571428571429,0.003,0.0228,0.7583333333333334,0.225,0.005480769230769231,0.003098360655737705,0.003,17.156666666666666
2022-08-21 09:01:59.983496988 +0000 UTC m=+3300.791319380,1661072519,0.004630769230769231,0.003,0.004200000000000001,0.003,0.022076271186440677,0.0035,8.484,0.019545454545454546,0.05357142857142857,0.007613636363636363,0.003,0.0228,0.6919333333333333,0.21249999999999997,0.005146048109965635,0.003054054054054054,0.003,16.547066666666666
2022-08-21 09:02:59.944346828 +0000 UTC m=+3360.752169189,1661072579,0.004513761467889909,0.003,0.00875,0.003,0.022025862068965518,0.003,8.064,0.01995192307692308,0.005,0.007837837837837838,0.003,0.0228,0.7294666666666667,0.15,0.004993569131832797,0.0030499999999999998,0.003,16.4392
2022-08-21 09:03:59.791661519 +0000 UTC m=+3420.599483881,1661072639,0.00524390243902439,0.0036666666666666666,0.005,0.003,0.020263157894736844,0.003,7.98,0.018375,0.04374999999999999,0.005625,0.003,0.0228,0.6204,0.175,0.0043915662650602415,0.0030366972477064223,0.003,14.416666666666666
2022-08-21 09:04:59.688890387 +0000 UTC m=+3480.496712759,1661072699,0.004663157894736842,0.003333333333333333,0.00625,0.003,0.02304347826086956,0.003,5.796,0.020909090909090905,0.0038571428571428567,0.007722222222222222,0.0031333333333333335,0.0228,0.6261333333333333,0.15625,0.005432098765432098,0.0030776699029126217,0.003,13.543066666666668
2022-08-21 09:05:59.867940822 +0000 UTC m=+3540.675763190,1661072759,0.003822429906542056,0.003,0.004,0.003,0.020666666666666667,0.003,4.793933333333333,0.8295454545454545,0.0625,0.0075,0.003,0.0228,0.501,0.375,0.005155038759689922,0.003043956043956044,0.003,12.224533333333333
2022-08-21 09:06:59.641396395 +0000 UTC m=+3600.449218773,1661072819,0.0045,0.003,0.005,0.003,0.02307142857142857,0.003,3.9406,0.8255813953488373,0.017499999999999995,0.006470588235294118,0.003,0.0228,0.5090666666666667,0.375,0.004072664359861593,0.003,0.003,10.891066666666667
2022-08-21 09:07:59.873503917 +0000 UTC m=+3660.681326286,1661072879,0.0042772277227722776,0.003,0.0065,0.003,0.01982142857142857,0.003,4.462333333333333,0.74375,0.003,0.0064772727272727265,0.0030833333333333333,0.0228,0.5064,0.25,0.004804878048780488,0.0030459770114942527,0.002333333333333333,11.419066666666668
2022-08-21 09:08:59.764925967 +0000 UTC m=+3720.572748327,1661072939,0.004960199004975125,0.003,0.0075,0.003,0.022606382978723402,0.003,7.896,0.01930555555555556,0.0044,0.006973684210526315,0.003,0.0228,0.6924,0.175,0.004275766016713092,0.0030877192982456145,0.003,15.686266666666667
2022-08-21 09:09:59.792965932 +0000 UTC m=+3780.600788291,1661072999,0.004555555555555556,0.003,0.004200000000000001,0.003,0.02277777777777778,0.003,8.064,0.019210526315789473,0.004428571428571428,0.007386363636363637,0.003,0.0228,0.7280666666666668,0.2,0.005695020746887967,0.0030158730158730157,0.0027142857142857142,17.2532
2022-08-21 09:11:00.134663101 +0000 UTC m=+3840.942485462,1661073060,0.00492156862745098,0.003,0.006,0.003,0.020613207547169814,0.003,7.476,0.019411764705882354,0.013749999999999998,0.004863636363636364,0.003,0.0228,0.6843333333333333,0.175,0.004432926829268292,0.0030181818181818187,0.003,15.178133333333333
2022-08-21 09:11:59.710625668 +0000 UTC m=+3900.518448028,1661073119,0.004170731707317073,0.003,0.008125,0.003,0.021767241379310343,0.003333333333333333,6.804,0.019411764705882354,0.004222222222222223,0.00814814814814815,0.0031538461538461538,0.0228,0.7865333333333333,0.25,0.0049287833827893176,0.003067226890756302,0.0028823529411764704,16.967200000000002
2022-08-21 09:12:59.851500456 +0000 UTC m=+3960.659322817,1661073179,0.004333333333333334,0.003,0.0175,0.003,0.022115384615384613,0.003,7.98,0.019519230769230768,0.01,0.008125,0.003,0.0228,0.6162000000000001,0.15,0.005825242718446603,0.0031,0.003,14.678533333333332
2022-08-21 09:13:59.658540952 +0000 UTC m=+4020.466363313,1661073239,0.0042307692307692315,0.003,0.0075,0.003,0.022692307692307692,0.003,8.4,0.019910714285714285,0.003923076923076923,0.007142857142857143,0.003,0.0228,0.6407999999999999,0.225,0.005540540540540541,0.003053571428571429,0.003,14.892133333333334
2022-08-21 09:14:59.976570757 +0000 UTC m=+4080.784393123,1661073299,0.0044571428571428574,0.003181818181818182,0.0075,0.003,0.02254807692307692,0.0036666666666666666,7.644,0.01849056603773585,0.005,0.008,0.003,0.0228,0.7418666666666667,0.375,0.005879396984924622,0.0030689655172413794,0.0027142857142857142,16.1092
2022-08-21 09:15:59.781252775 +0000 UTC m=+4140.589075136,1661073359,0.003990740740740741,0.003,0.004076923076923077,0.003,0.02308139534883721,0.003,7.476,0.018045454545454545,0.004125,0.006785714285714285,0.003,0.0228,0.6286666666666666,0.205,0.004746312684365782,0.0030363636363636365,0.0028666666666666667,14.714
2022-08-21 09:16:59.696374229 +0000 UTC m=+4200.504196590,1661073419,0.0506637168141593,0.003,0.0032857142857142855,0.003,0.022446808510638298,0.003,7.56,0.01891509433962264,0.0642857142857143,0.006583333333333333,0.003,0.0228,0.592,0.25,0.005275423728813559,0.003037037037037037,0.003,13.760933333333332
2022-08-21 09:17:59.88629088 +0000 UTC m=+4260.694113240,1661073479,0.004595959595959597,0.003,0.0075,0.003,0.0245,0.003,7.644,0.019450000000000002,0.004714285714285714,0.00875,0.003,0.0228,0.5749333333333333,0.25,0.006428571428571428,0.003058252427184466,0.003,13.890799999999999
2022-08-21 09:18:59.951657631 +0000 UTC m=+4320.759479994,1661073539,0.01910714285714285,0.003,0.004833333333333334,0.003,0.020531914893617022,0.0035,8.064,0.019886363636363636,0.005,0.008017241379310345,0.003,0.0228,0.5701333333333334,0.4,0.005292207792207792,0.003064516129032258,0.003,13.813466666666667
2022-08-21 09:20:00.086032543 +0000 UTC m=+4380.893854913,1661073600,0.004261538461538462,0.003,0.0075,0.003,0.022,0.003,8.652,0.0193,0.004818181818181819,0.007732558139534884,0.003,0.0228,0.593,0.225,0.004903682719546742,0.00305607476635514,0.003,14.394666666666666
2022-08-21 09:21:00.056364513 +0000 UTC m=+4440.864186878,1661073660,0.004788888888888889,0.003,0.008181818181818182,0.003,0.021745283018867922,0.003,7.308,0.02,0.029166666666666664,0.008618421052631579,0.003,0.0228,0.6812,0.19,0.006328125,0.003,0.002818181818181818,15.66
2022-08-21 09:21:59.984329371 +0000 UTC m=+4500.792151731,1661073719,0.017875000000000005,0.003,0.004428571428571428,0.003,0.0225,0.003,7.14,0.018169642857142853,0.005,0.006341463414634147,0.003,0.0228,0.5122666666666666,0.175,0.005116033755274261,0.003076923076923077,0.003,12.167733333333334
2022-08-21 09:23:00.016210581 +0000 UTC m=+4560.824032941,1661073780,0.01750000000000001,0.003,0.006818181818181819,0.003,0.025,0.0032857142857142855,8.4,0.019154411764705885,0.004222222222222223,0.0085,0.003,0.0228,0.7054666666666667,0.23125,0.005573170731707317,0.003032786885245902,0.0028333333333333335,16.441333333333333
2022-08-21 09:23:59.97401183 +0000 UTC m=+4620.781834190,1661073839,0.004664974619289341,0.003,0.003333333333333333,0.003,0.019673913043478257,0.003,7.896,0.01868421052631579,0.00875,0.007727272727272727,0.0030512820512820513,0.0228,0.6912,0.2,0.005580357142857143,0.0030545454545454548,0.003,15.143333333333334
2022-08-21 09:24:59.918341858 +0000 UTC m=+4680.726164228,1661073899,0.0049589743589743595,0.003,0.0065,0.003,0.02021551724137931,0.0035,7.98,0.018454545454545453,0.003888888888888889,0.006785714285714286,0.003,0.0228,0.7322666666666666,0.1,0.004844660194174758,0.003074074074074074,0.003,15.603200000000001
2022-08-21 09:25:59.93219319 +0000 UTC m=+4740.740015563,1661073959,0.004373271889400922,0.003,0.004666666666666666,0.003,0.020546875,0.003333333333333333,8.232,0.019183673469387756,0.003923076923076923,0.007364864864864865,0.003,0.0228,0.7199333333333333,0.5833333333333333,0.005012953367875647,0.0030165289256198348,0.003,15.781333333333334
2022-08-21 09:26:59.989496966 +0000 UTC m=+4800.797319327,1661074019,0.0035276595744680853,0.003,0.0036666666666666666,0.003,0.02330188679245283,0.003,8.316,0.02243421052631579,0.0035,0.007083333333333333,0.0030666666666666668,0.0228,0.5906,0.075,0.005546218487394958,0.003018348623853211,0.003,15.140533333333332
2022-08-21 09:28:00.028365522 +0000 UTC m=+4860.836187900,1661074080,0.004241666666666667,0.003,0.0075,0.003,0.022076271186440677,0.004,9.324,0.019375,0.003909090909090909,0.00783783783783784,0.003,0.0228,0.6956,0.15,0.005679916317991631,0.003084745762711864,0.003,16.701066666666666
2022-08-21 09:28:59.897425065 +0000 UTC m=+4920.705247425,1661074139,0.022499999999999996,0.003,0.01375,0.003,0.022647058823529412,0.003,7.14,0.018125,0.05833333333333333,0.007565789473684211,0.003,0.0228,0.6417999999999999,0.125,0.0058884297520661166,0.003053571428571429,0.003,
2022-08-21 09:29:59.908074384 +0000 UTC m=+4980.715896745,1661074199,0.003941176470588235,0.003,0.005384615384615384,0.003,0.022545454545454546,0.003,7.644,0.018225806451612904,0.005833333333333335,0.007236842105263158,0.003,0.0228,0.7487999999999999,0.1875,0.00531015037593985,0.0030650406504065045,0.003,16.962933333333336
2022-08-21 09:30:59.914726015 +0000 UTC m=+5040.722548376,1661074259,0.0046696428571428574,0.003,0.01,0.003,0.020657894736842104,0.004,7.812,0.0187,0.028125,0.0076829268292682934,0.003,0.0228,0.7702,0.175,0.00584033613445378,0.003,0.0027142857142857142,16.459066666666665
2022-08-21 09:32:00.087888905 +0000 UTC m=+5100.895711266,1661074320,0.004169491525423728,0.003,0.0038000000000000004,0.003,0.021739130434782608,0.003,7.812,0.018970588235294118,0.01,0.007058823529411763,0.003142857142857143,0.0228,0.442,0.25,0.005570175438596492,0.0030689655172413794,0.003,12.062
2022-08-21 09:32:59.789765185 +0000 UTC m=+5160.597587545,1661074379,0.004824390243902439,0.003,0.003,0.003,0.023035714285714288,0.003,8.064,0.017932692307692306,0.0035714285714285713,0.007129629629629629,0.003,0.0228,0.5558,0.375,0.0056052631578947364,0.00306,0.003,12.922799999999999
