Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2022-08-20 09:22:30.181792483 +0000 UTC m=+0.535976488,1660987350,recommendationservice-6cfdd55578-mk4qv,3.1709329067094436,15.854664533547217,27.0234375,6.005208333333333,662,1386,11988.463873709776,35324.59016393443,0.02094444444444444,0.03520833333333332,0.023527777777777772,0.04468749999999997,0.05349999999999963,0.07724999999999976,6.333333333333333,0,9.284988139640815,20.45861656362024,295476.9
2022-08-20 09:23:30.019001188 +0000 UTC m=+60.373185194,1660987410,recommendationservice-6cfdd55578-mk4qv,3.325999512275986,16.629997561379927,27.0234375,6.005208333333333,694,1442,13391.662452134962,41955.92803988152,0.03399999999999995,0.0446153846153846,0.07333333333333318,0.07666666666666637,0.20399999999999957,0.20600000000000002,6.6,0,9.287321193557363,20.45139579219303,305313.1666666667
2022-08-20 09:24:30.168439104 +0000 UTC m=+120.522623110,1660987470,recommendationservice-6cfdd55578-mk4qv,2.6251102056442908,13.125014263558718,27.0234375,6.005208333333333,696,1460,14059.747853097022,10552.165174492966,0.022315789473684212,0.03583333333333334,0.03142857142857143,0.04291666666666667,0.04628571428571426,0.04858333333333334,6,0,9.38319654801597,20.46269044479708,307200.2
2022-08-20 09:25:30.189796179 +0000 UTC m=+180.543980226,1660987530,recommendationservice-6cfdd55578-mk4qv,3.1645789122744614,15.822894561372305,27.0234375,6.005208333333333,604,1280,14792.151162790698,57306.3226744186,0.02326,0.04513888888888889,0.033541666666666664,0.06041666666666653,0.05049999999999994,0.09208333333333331,6.533333333333333,0,20.36568093050771,28.856593283950737,4262477.4
2022-08-20 09:26:30.495619299 +0000 UTC m=+240.849803312,1660987590,recommendationservice-6cfdd55578-mk4qv,2.917231481750167,14.586157408750832,27.0234375,6.005208333333333,674,1408,14216.340439020525,44709.881924082736,0.02344642857142857,0.036666666666666674,0.03232142857142857,0.04333333333333333,0.04646428571428572,0.04866666666666667,5.8,0,20.466054416033653,33.83802297229882,4397856.566666666
2022-08-20 09:27:30.256025974 +0000 UTC m=+300.610209980,1660987650,recommendationservice-6cfdd55578-mk4qv,3.0033780444163645,15.016890222081821,27.0234375,6.005208333333333,602,1282,15397.267235051664,34941.618203376434,0.029750000000000006,0.0422,0.043625000000000004,0.047599999999999996,0.08150000000000006,0.082,6.733333333333333,0,20.2299645542371,38.15365362496143,4499078.6
2022-08-20 09:28:30.176855424 +0000 UTC m=+360.531039430,1660987710,recommendationservice-6cfdd55578-mk4qv,2.3649957385361495,11.824493468304889,27.0234375,6.005208333333333,686,1434,14113.584036838065,41268.75043605665,0.03838235294117645,0.04330357142857143,0.04566176470588233,0.04754464285714285,0.07524999999999997,0.07624999999999987,6.333333333333333,0,18.447271943120892,38.542282373633455,4149173.9
2022-08-20 09:29:30.160120024 +0000 UTC m=+420.514304107,1660987770,recommendationservice-6cfdd55578-mk4qv,2.652348615675053,13.261225627710846,27.0234375,6.005208333333333,644,1376,15813.219580882962,49771.059388718626,0.024410714285714286,0.041875,0.039107142857142826,0.046979166666666655,0.07475000000000002,0.07549999999999994,6.133333333333334,0,18.914835757785454,38.600268095533735,4458083.833333333
2022-08-20 09:30:30.225174144 +0000 UTC m=+480.579358176,1660987830,recommendationservice-6cfdd55578-mk4qv,2.9869769256821996,14.934884628411,27.0234375,6.005208333333333,726,1498,13826.202219482122,36848.52034525278,0.03403846153846153,0.04166666666666668,0.04298076923076921,0.047023809523809516,0.05349999999999963,0.07749999999999989,6.4,0,18.67819801212278,38.546039126335444,4106962.933333333
2022-08-20 09:31:30.068215313 +0000 UTC m=+540.422399318,1660987890,recommendationservice-6cfdd55578-mk4qv,2.992636294351754,14.96318147175877,27.0234375,6.005208333333333,656,1364.0000000000002,14525.69024066145,43887.2729957183,0.03546875000000001,0.041,0.04351562499999999,0.046,0.04995312499999999,0.05000000000000067,6.333333333333333,0,19.402920776986022,38.56040748569568,4268655.9
2022-08-20 09:32:30.349772215 +0000 UTC m=+600.703956237,1660987950,recommendationservice-6cfdd55578-mk4qv,2.682098470768253,13.410492353841263,27.0234375,6.005208333333333,654,1336,14162.797418360466,53390.42481456507,0.03326923076923077,0.040869565217391296,0.04259615384615384,0.04597826086956521,0.051499999999999845,0.05299999999999968,6,0,18.347750865147972,38.594950094955585,4231299.733333333
2022-08-20 09:33:30.163278588 +0000 UTC m=+660.517462604,1660988010,recommendationservice-6cfdd55578-mk4qv,3.055989562615032,15.27994781307516,27.0234375,6.005208333333333,662,1374,14085.912683755632,9337.962620964763,0.025,0.04037500000000001,0.03888888888888886,0.046437500000000013,0.05,0.07575000000000008,6.666666666666667,0,18.663108509516768,38.60331740779185,4238275.266666667
2022-08-20 09:34:30.156902561 +0000 UTC m=+720.511086566,1660988070,recommendationservice-6cfdd55578-mk4qv,3.164568231997199,15.822841159985993,27.0234375,6.005208333333333,732,1536,14433.047764346906,35681.25806830184,0.02481818181818182,0.04129310344827587,0.037000000000000005,0.04564655172413793,0.04739999999999999,0.049129310344827586,6.466666666666667,0,19.63954641485174,38.6405434118389,4437913.233333333
2022-08-20 09:35:30.064646255 +0000 UTC m=+780.418830262,1660988130,recommendationservice-6cfdd55578-mk4qv,2.9242971723384015,14.621485861692008,27.0234375,6.005208333333333,650,1374,12349.995716610983,27812.815899940033,0.024410714285714286,0.04319999999999999,0.03732142857142854,0.04759999999999998,0.054499999999999514,0.07800000000000001,5.666666666666667,0,19.02935218318462,38.58553381870253,4337971.6
2022-08-20 09:36:30.494088444 +0000 UTC m=+840.848272456,1660988190,recommendationservice-6cfdd55578-mk4qv,3.046149103349759,15.230745516748796,27.0234375,6.005208333333333,776,1612,14128.556910569107,35419.71544715447,0.023714285714285722,0.03805555555555557,0.03607142857142858,0.044722222222222226,0.051000000000000545,0.05200000000000043,6.066666666666666,0,18.84941217147511,38.61946656551081,4202262.5
2022-08-20 09:37:30.158295761 +0000 UTC m=+900.512479781,1660988250,recommendationservice-6cfdd55578-mk4qv,3.0177525405460734,15.088762702730365,27.0234375,6.005208333333333,732,1532,12491.996786354366,36371.361473332916,0.03868421052631579,0.0427,0.04499999999999999,0.047349999999999996,0.05199999999999979,0.07674999999999997,6.666666666666667,0,19.12075585646582,38.644617293015735,4204523.433333334
2022-08-20 09:38:30.071210682 +0000 UTC m=+960.425394687,1660988310,recommendationservice-6cfdd55578-mk4qv,2.8391580455774,14.195790227887,27.0234375,6.005208333333333,622,1294.0000000000002,13723.286290322581,10196.74059139785,0.03472222222222222,0.045,0.04930555555555552,0.06124999999999993,0.1712499999999994,0.17350000000000018,6.2,0,19.181266411434915,38.64764221077578,4305895.9
2022-08-20 09:39:30.174659804 +0000 UTC m=+1020.528843825,1660988370,recommendationservice-6cfdd55578-mk4qv,2.981750388174919,14.908751940874595,27.0234375,6.005208333333333,734,1514,14985.169302242473,50521.486643437864,0.026136363636363635,0.039799999999999995,0.0380681818181818,0.0449,0.04761363636363636,0.04898,6.466666666666667,0,18.46220302368011,38.68455108634799,4048836.3333333335
2022-08-20 09:40:30.213978176 +0000 UTC m=+1080.568162185,1660988430,recommendationservice-6cfdd55578-mk4qv,2.213151508052152,11.065757540260762,27.0234375,6.005208333333333,594.0000000000001,1278.0000000000002,9087.3756537791,29713.875499948725,0.022230769230769228,0.036136363636363626,0.02999999999999995,0.043068181818181804,0.04600000000000003,0.04861363636363636,3.8666666666666667,0,18.33822007598117,38.678842773800795,4248322.6
2022-08-20 09:41:30.353805855 +0000 UTC m=+1140.707989871,1660988490,recommendationservice-6cfdd55578-mk4qv,1.9999199861922117,9.999599930961057,27.0234375,6.005208333333333,390,874,10412.127783801818,44671.69905746934,0.024437500000000004,0.04282608695652174,0.03774999999999997,0.04641304347826086,0.06549999999999968,0.049282608695652166,4.4,0,17.193284545937757,42.36233879810747,4075498.3333333335
2022-08-20 09:42:30.45415292 +0000 UTC m=+1200.808336924,1660988550,recommendationservice-6cfdd55578-mk4qv,2.0930832874581826,10.465416437290912,27.0234375,6.005208333333333,404.0000000000001,912,9655.484216158373,30894.38202247191,0.022882352941176468,0.03826923076923076,0.02999999999999995,0.04413461538461537,0.04600000000000003,0.04882692307692308,4.333333333333333,0,18.38570813613081,41.89772118796326,4288332.433333334
2022-08-20 09:43:30.167470859 +0000 UTC m=+1260.521654868,1660988610,recommendationservice-6cfdd55578-mk4qv,1.9429746724123946,9.714873362061972,27.0234375,6.005208333333333,380,844,9144.139650872818,38820.5201282508,0.021711538461538463,0.04,0.023644230769230768,0.044999999999999984,0.03324999999999979,0.049,4.133333333333334,0,18.013627738454886,41.918188171839724,4178168
2022-08-20 09:44:30.159091565 +0000 UTC m=+1320.513275570,1660988670,recommendationservice-6cfdd55578-mk4qv,2.697647730326248,13.48823865163124,27.0234375,6.005208333333333,496,1068,14707.048262376678,49562.35001333215,0.028,0.041875,0.04024999999999998,0.04781249999999997,0.05099999999999989,0.08416666666666657,6.133333333333334,0,18.480936137216318,41.947973853976976,4282829.666666667
2022-08-20 09:45:30.091099103 +0000 UTC m=+1380.445283150,1660988730,recommendationservice-6cfdd55578-mk4qv,2.957790611351464,14.78895305675732,27.0234375,6.005208333333333,715.9999999999999,1508,14803.28867235079,34145.55420219245,0.03791666666666669,0.0465625,0.04534722222222221,0.056666666666666705,0.07325000000000002,0.09133333333333328,6.6,0,18.723844859677495,41.88774383825472,4210055.2
2022-08-20 09:46:30.282700416 +0000 UTC m=+1440.636884420,1660988790,recommendationservice-6cfdd55578-mk4qv,1.9079072243320672,9.539781930559661,27.0234375,6.005208333333333,690,1446,13645.030754289415,58765.188302579045,0.03499999999999998,0.043750000000000004,0.05099999999999989,0.05249999999999986,0.0902,0.09049999999999997,6.2,0,19.180978682951643,41.826586831606,4207090.466666667
