Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2022-08-20 09:22:30.140312154 +0000 UTC m=+0.494496160,1660987350,productcatalogservice-668d5f85fb-gtzn5,6.833419606057463,34.164327706323206,31.76953125,24.8199462890625,45868,31158,171032.2619429304,342499.6393074703,0.175,0.0048797653958944295,0.2125,0.009062500000000001,0.24249999999999994,0.06659090909090899,51.266666666666666,0,4.411394000507196,12.534332206714097,52967.5
2022-08-20 09:23:29.992539144 +0000 UTC m=+60.346723158,1660987409,productcatalogservice-668d5f85fb-gtzn5,9.596851766449953,47.98425883224976,31.76953125,24.8199462890625,47554,32586,170036.27848455193,328717.46120508877,0.175,0.004791104734576757,0.2125,0.005107142857142874,0.24249999999999994,0.07378571428571414,49.66666666666667,0,4.834167052011107,12.546797795225265,58519.1
2022-08-20 09:24:30.131182251 +0000 UTC m=+120.485366263,1660987470,productcatalogservice-668d5f85fb-gtzn5,9.48763916394486,47.43819581972429,31.76953125,24.8199462890625,47106,32164,175190.10370891192,366413.95675865706,0.2125,0.004825327510917031,0.23125,0.007708333333333343,0.24624999999999997,0.04171875000000023,44.666666666666664,0,4.67497586971708,12.544114400438126,56116.833333333336
2022-08-20 09:25:30.125502001 +0000 UTC m=+180.479686019,1660987530,productcatalogservice-668d5f85fb-gtzn5,9.651919936226903,48.25959968113451,31.76953125,24.8199462890625,42202,28942,168956.03620547784,317085.77250107756,0.375,0.00479372197309417,0.4375,0.005312499999999941,0.4874999999999999,0.037410714285714367,46.86666666666667,0,5.024787832926947,12.555116319065398,57435.53333333333
2022-08-20 09:26:30.430636223 +0000 UTC m=+240.784820255,1660987590,productcatalogservice-668d5f85fb-gtzn5,9.16966463961783,45.84832319808914,31.76953125,24.8199462890625,45258,30692,184599.0212071778,365518.6786296901,0.19,0.004819512195121952,0.21999999999999995,0.007166666666666702,0.24400000000000002,0.045545454545454875,40.333333333333336,0,4.610926804684512,12.555262686053787,52990.4
2022-08-20 09:27:30.153656107 +0000 UTC m=+300.507840139,1660987650,productcatalogservice-668d5f85fb-gtzn5,9.863453461929298,49.31726730964648,31.76953125,24.8199462890625,42866,29302,224007.52374682593,439066.58515940944,0.42500000000000004,0.004895384615384615,0.4625,0.013999999999999995,0.4925,0.06163636363636342,50.266666666666666,0,4.6242531347340465,12.570070146379187,57588.53333333333
2022-08-20 09:28:30.128828493 +0000 UTC m=+360.483012509,1660987710,productcatalogservice-668d5f85fb-gtzn5,9.472776600852004,47.36388300426002,31.76953125,24.8199462890625,46352,31480,166073.87656669272,326880.16711388883,0.225,0.004811764705882354,0.2375,0.007499999999999901,0.24749999999999997,0.045294117647058714,43.86666666666667,0,4.60821756830515,12.53445417920442,56481.2
2022-08-20 09:29:30.126997471 +0000 UTC m=+420.481181477,1660987770,productcatalogservice-668d5f85fb-gtzn5,9.667715909680568,48.33857954840284,31.76953125,24.8199462890625,46996,31772,172418.70653685674,315249.5827538247,0.45833333333333337,0.004752727272727272,0.47916666666666663,0.004961212121212121,0.49583333333333324,0.05699999999999934,43.266666666666666,0,5.034583944683025,12.548968905553043,55381.03333333333
2022-08-20 09:30:30.183776062 +0000 UTC m=+480.537960094,1660987830,productcatalogservice-668d5f85fb-gtzn5,8.049802095920171,40.24742957618642,31.76953125,24.8199462890625,46218,31286,173210.74144486693,365766.825095057,0.19,0.004802739726027397,0.21999999999999995,0.006045454545454563,0.24400000000000002,0.05662500000000013,46.66666666666667,0,4.802319230279806,12.553896594162154,55022.53333333333
2022-08-20 09:31:30.028946776 +0000 UTC m=+540.383130797,1660987890,productcatalogservice-668d5f85fb-gtzn5,9.5678420523953,47.8392102619765,31.76953125,24.8199462890625,47281.99999999999,32296.000000000007,172991.41281749977,348563.13838922535,0.235,0.00481849710982659,0.24249999999999997,0.007649999999999969,0.24850000000000003,0.04742307692307687,51.666666666666664,0,4.677134939947003,12.556140887984125,58354
