Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2023-01-27 02:09:04.136768622 +0000 UTC m=+1.870758242,1674785344,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,3776.505631574048,58527.59936702969,0.04125000000000001,0.085,0.04562499999999999,0.0925,0.049125,0.0985,0.2,0,3.7360423138314336,38.124648566762254,26127.7
2023-01-27 02:10:03.922931717 +0000 UTC m=+61.656921311,1674785403,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,3738.535179371044,64206.958670029344,0.23500000000000004,0.475,41.99999999999998,0.4875,56.4,0.4975,0.06666666666666667,0,3.254798202511,38.20971218151458,23339.233333333334
2023-01-27 02:11:03.857029614 +0000 UTC m=+121.591019226,1674785463,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,3087.0016384489354,36693.22774440197,0.0375,0.0475,37.49999999999998,0.04875,55.5,0.04975,0.2,0,3.8693973476544907,38.178462829493434,23881.13962012662
2023-01-27 02:12:04.016504879 +0000 UTC m=+181.750494473,1674785524,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,3437.2278881135567,73733.64346633268,0.019375,0.0475,0.022187499999999995,0.04875,0.0244375,0.04975,0.2,0,3.597363892037586,38.25803768218116,22339.766666666666
2023-01-27 02:13:03.714970665 +0000 UTC m=+241.448960259,1674785583,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,1018.3691756272401,1649.1039426523298,0.027500000000000052,0.0475,0.03875000000000001,0.04875,0.04775,0.04975,0.06666666666666667,0,3.012225349741393,38.271503445112984,22677.633333333335
2023-01-27 02:14:03.984863306 +0000 UTC m=+301.718852901,1674785643,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,1584.0684775962966,2844.6152502401956,0.095,0.45,0.1599999999999999,0.4749999999999999,0.23199999999999998,0.495,0.13333333333333333,0,3.1537395540244817,38.317755413444054,22242.7
2023-01-27 02:15:03.560336498 +0000 UTC m=+361.294326094,1674785703,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,1700.959670969953,35703.07323203473,0.016000000000000004,0.0475,0.020499999999999994,0.04875,0.0241,0.04975,0.06666666666666667,0,3.372249286074447,38.362153399922185,20877.733333333334
2023-01-27 02:16:04.086852126 +0000 UTC m=+421.820841729,1674785764,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,3132.2971948445793,41015.921152388175,0.0211,0.0475,0.02305,0.04875,0.02461,0.04975,0.2,0,3.720344320796931,38.40774671680549,23725.3
2023-01-27 02:17:04.037650829 +0000 UTC m=+481.771640424,1674785824,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,2995.394607360756,49660.10627829167,0.04249999999999999,0.4,0.15249999999999997,0.4499999999999999,0.2304999999999999,0.49000000000000005,0.33333333333333337,0,3.3879781420783295,38.44214295907701,23801.733333333334
2023-01-27 02:18:04.11822024 +0000 UTC m=+541.852209834,1674785884,ts-security-service-cb9788d56-zpbjx,0,0,0,0,0,0,2062.3397262253043,44759.63448549861,0.12999999999999995,0.45,0.18999999999999984,0.4749999999999999,0.23800000000000007,0.495,0.13333333333333333,0,3.493009782116052,38.465805622199966,22779.633333333335
