Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2023-01-27 02:09:03.797172709 +0000 UTC m=+1.531162304,1674785343,ts-preserve-service-b5ccf8557-jblx6,21.38043368758515,4.27608673751703,422.95703125,21.1478515625,0,0,5483.923750306798,87166.65303117073,0.0800000000000001,0.475,0.22000000000000022,0.4875,25.20000000000001,0.4975,0.06666666666666667,0,3.7360423138314336,38.124648566762254,26127.7
2023-01-27 02:10:03.765574117 +0000 UTC m=+61.499563714,1674785403,ts-preserve-service-b5ccf8557-jblx6,10.973920744794723,2.194784148958945,427.13671875,21.356835937499998,0,0,5205.882352941177,111772.97632585547,NaN,NaN,NaN,NaN,NaN,NaN,0,0,3.254798202511,38.20971218151458,23339.233333333334
2023-01-27 02:11:03.589023486 +0000 UTC m=+121.323013080,1674785463,ts-preserve-service-b5ccf8557-jblx6,20.071928447136102,4.01438568942722,424.87109375,21.243554687499998,0,0,4760.531449359414,62469.18331839511,0.175,0.45,0.2125,0.4749999999999999,0.24249999999999994,0.495,0.13333333333333333,0,3.8693973476544907,38.178462829493434,23881.13962012662
2023-01-27 02:12:03.832210566 +0000 UTC m=+181.566200161,1674785523,ts-preserve-service-b5ccf8557-jblx6,7.886549364473156,1.5773098728946313,425.76171875,21.2880859375,0,0,4894.704496568677,109824.49042302571,0.2125,0.475,0.23125,0.4875,0.24624999999999997,0.4975,0.06666666666666667,0,3.597363892037586,38.25803768218116,22339.766666666666
2023-01-27 02:13:03.463019252 +0000 UTC m=+241.197008846,1674785583,ts-preserve-service-b5ccf8557-jblx6,5.634754686118436,1.1269509372236872,424.86328125,21.2431640625,0,0,517.0848083730953,313.37540403263046,NaN,NaN,NaN,NaN,NaN,NaN,0,0,3.012225349741393,38.271503445112984,22677.633333333335
2023-01-27 02:14:03.821781179 +0000 UTC m=+301.555770773,1674785643,ts-preserve-service-b5ccf8557-jblx6,5.648831771817252,1.1297897225947893,426.06640625,21.3033203125,0,0,3035.61736770692,58016.451831750346,NaN,NaN,NaN,NaN,NaN,NaN,0,0,3.1537395540244817,38.317755413444054,22242.7
2023-01-27 02:15:03.347345127 +0000 UTC m=+361.081334722,1674785703,ts-preserve-service-b5ccf8557-jblx6,9.315208271818411,1.8630416543636823,425.66015625,21.2830078125,0,0,4312.724133351043,75078.894939567,0.13000000000000006,0.475,0.1899999999999999,0.4875,0.23800000000000007,0.4975,0.06666666666666667,0,3.372249286074447,38.362153399922185,20877.733333333334
2023-01-27 02:16:03.902104196 +0000 UTC m=+421.636093797,1674785763,ts-preserve-service-b5ccf8557-jblx6,9.827187460404936,1.9654374920809872,425.98828125,21.2994140625,0,0,5872.352065161232,103341.45822569371,0.22000000000000006,0.9,0.3249999999999997,0.9499999999999998,0.46500000000000014,0.99,0.06666666666666667,0,3.720344320796931,38.40774671680549,23725.3
2023-01-27 02:17:03.857150759 +0000 UTC m=+481.591140352,1674785823,ts-preserve-service-b5ccf8557-jblx6,6.650953572532913,1.3302207661453935,426.09375,21.3046875,0,0,3084.7950473689148,100964.44986399024,0.0046,NaN,0.004799999999999999,NaN,0.004960000000000001,NaN,0,0,3.3879781420783295,38.44214295907701,23801.733333333334
2023-01-27 02:18:03.488769356 +0000 UTC m=+541.222758951,1674785883,ts-preserve-service-b5ccf8557-jblx6,10.22594398626391,2.045188797252782,426.21484375,21.3107421875,0,0,3984.0067649545936,82453.03136144711,NaN,NaN,NaN,NaN,NaN,NaN,0,0,3.493009782116052,38.465805622199966,22779.633333333335
