time,timestamp,frontend_recommendationservice,checkoutservice_emailservice,frontend_cartservice,cartservice_redis-cart,frontend_checkoutservice,frontend_currencyservice,checkoutservice_cartservice,productcatalogservice_mysql,gateway_nats,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_productcatalogservice,frontend_adservice,checkoutservice_currencyservice,checkoutservice_paymentservice,adservice_mysql,frontend_productcatalogservice,recommendationservice_productcatalogservice
2022-08-14 02:13:48.541348223 +0000 UTC m=+1080.773149578,1660443228,0.019130434782608695,0.0075,0.0071428571428571435,0.3322,0.075,0.015489690721649485,0.0036666666666666666,8.901200000000001,0.019600000000000003,0.006666666666666666,0.006071428571428571,0.0035,0.02419642857142857,0.02125,0.005,6.132,0.0082319391634981,0.009326923076923076
2022-08-14 02:14:48.319757598 +0000 UTC m=+1140.551558956,1660443288,0.02115853658536585,0.0075,0.007801724137931035,0.45713333333333334,0.175,0.015084745762711864,0.00625,9.512933333333333,0.0228,0.004200000000000001,0.006458333333333333,0.006666666666666667,0.020714285714285716,0.0225,0.0036666666666666666,5.208,0.008108108108108107,0.009071428571428572
2022-08-14 02:15:48.299170747 +0000 UTC m=+1200.530972100,1660443348,0.021363636363636362,0.0075,0.007783018867924529,0.3552,0.175,0.013441176470588236,0.003,9.373866666666666,0.0228,0.003,0.006875,0.003,0.02163793103448276,0.0034000000000000002,0.003,5.628,0.00794943820224719,0.008353658536585366
2022-08-14 02:16:48.364399945 +0000 UTC m=+1260.596201299,1660443408,0.020535714285714286,0.0075,0.0071551724137931035,0.3862,0.09166666666666666,0.009945054945054946,0.006875,10.2872,0.019600000000000003,0.004333333333333333,0.006,0.0038571428571428567,0.02064516129032258,0.0035,0.0035,4.872,0.007691740412979351,0.008372093023255815
2022-08-14 02:17:48.451136466 +0000 UTC m=+1320.682937827,1660443468,0.0214,0.008125,0.007012987012987013,0.5366666666666666,0.1375,0.014449152542372879,0.005,16.91466666666667,0.0212,0.0032222222222222222,0.004066666666666666,0.0034000000000000002,0.019411764705882354,0.05277777777777778,0.0035,8.484,0.0058,0.00951219512195122
2022-08-14 02:18:48.398066911 +0000 UTC m=+1380.629868265,1660443528,0.021625,0.0036666666666666666,0.005318181818181818,0.6948,0.2,0.022187499999999995,0.004200000000000001,13.663733333333333,0.019600000000000003,0.0036666666666666666,0.0038181818181818187,0.0059375,0.019409090909090907,0.05416666666666666,0.003,7.14,0.004703264094955489,0.008227272727272727
2022-08-14 02:19:48.51749137 +0000 UTC m=+1440.749292723,1660443588,0.02111607142857143,0.0075,0.005526315789473684,0.5862666666666666,0.21249999999999997,0.008265765765765768,0.007,14.538,0.019600000000000003,0.0035,0.003444444444444444,0.005,0.019375,0.0175,0.004333333333333333,8.148,0.004318611987381704,0.008837209302325582
2022-08-14 02:20:48.307924826 +0000 UTC m=+1500.539726179,1660443648,0.02215,0.0075,0.006964285714285714,0.5406666666666666,0.2125,0.018895348837209298,0.004200000000000001,14.958133333333333,0.021733333333333334,0.0032857142857142855,0.0035263157894736847,0.00375,0.021176470588235293,0.00875,0.003,7.812,0.004572881355932204,0.00923076923076923
2022-08-14 02:21:48.41599433 +0000 UTC m=+1560.647795684,1660443708,0.02205357142857143,0.006666666666666667,0.0044603174603174605,0.7095333333333333,0.19,0.008109756097560976,0.003,13.873066666666668,0.0228,0.003181818181818182,0.004294117647058824,0.004,0.021524390243902437,0.05625,0.004,6.72,0.004559748427672956,0.009605263157894737
2022-08-14 02:22:48.238031908 +0000 UTC m=+1620.469833272,1660443768,0.022551020408163265,0.0065,0.0042238805970149255,0.6183333333333334,0.2,0.00903409090909091,0.0038000000000000004,15.039733333333334,0.0228,0.0031538461538461538,0.0034,0.00375,0.019642857142857146,0.0046,0.003,7.224,0.003997229916897507,0.010234375000000002
2022-08-14 02:23:48.482019234 +0000 UTC m=+1680.713820589,1660443828,0.01875,0.0075,0.0064285714285714285,0.45280000000000004,0.375,0.006895604395604396,0.0075,4.1954666666666665,0.019600000000000003,0.003,0.0035263157894736847,0.004,0.018863636363636364,0.004333333333333333,0.01,1.26,0.004238095238095237,0.008289473684210527
2022-08-14 02:24:48.349398254 +0000 UTC m=+1740.581199608,1660443888,0.020657894736842108,0.007,0.005416666666666666,0.32539999999999997,0.175,0.00804245283018868,0.004,5.883733333333334,0.0228,0.0034000000000000002,0.003941176470588235,0.004,0.01828947368421053,0.0046,0.005,1.596,0.0038309859154929578,0.008472222222222223
2022-08-14 02:25:48.321474683 +0000 UTC m=+1800.553276049,1660443948,0.02090909090909091,0.0038000000000000004,0.004393939393939394,0.38160000000000005,0.205,0.007473404255319149,0.003333333333333333,5.657333333333333,0.0213,0.0031538461538461538,0.003380952380952381,0.005833333333333333,0.018035714285714283,0.0047777777777777775,0.003333333333333333,1.008,0.004163120567375886,0.009423076923076923
2022-08-14 02:26:48.414318741 +0000 UTC m=+1860.646120095,1660444008,0.021733870967741938,0.0075,0.006428571428571428,0.7782,0.175,0.00946808510638298,0.006363636363636363,16.872799999999998,0.0228,0.003461538461538461,0.003909090909090909,0.005,0.021086956521739128,0.004076923076923077,0.005,7.308,0.004501432664756447,0.008888888888888889
2022-08-14 02:27:48.66473938 +0000 UTC m=+1920.896540733,1660444068,0.020526315789473684,0.0075,0.00647887323943662,0.6158666666666667,0.19375,0.01841463414634146,0.005833333333333333,14.89,0.0214,0.0032222222222222222,0.003823529411764706,0.004142857142857143,0.019852941176470587,0.005,0.004333333333333333,8.484,0.004637630662020905,0.008365384615384615
2022-08-14 02:28:48.441245229 +0000 UTC m=+1980.673046581,1660444128,0.0215,0.005833333333333333,0.004228571428571428,0.7108666666666666,0.175,0.007794117647058824,0.004333333333333333,14.848133333333333,0.021733333333333334,0.004333333333333333,0.0037272727272727275,0.006000000000000001,0.019,0.0075,0.005833333333333333,7.392,0.004767295597484276,0.008684210526315789
2022-08-14 02:29:48.567479729 +0000 UTC m=+2040.799281082,1660444188,0.02094262295081967,0.007857142857142856,0.006107142857142857,0.6437333333333334,0.23125,0.009872448979591835,0.005,15.809733333333334,0.02104,0.0037272727272727275,0.0032962962962962963,0.003999999999999999,0.01950892857142857,0.0590909090909091,0.004200000000000001,7.644,0.004043478260869564,0.008189655172413794
2022-08-14 02:30:48.510770586 +0000 UTC m=+2100.742571940,1660444248,0.020344827586206895,0.00875,0.00654320987654321,0.6416666666666666,0.25,0.009789915966386556,0.005,15.596133333333333,0.0212,0.0034000000000000002,0.0037272727272727275,0.0036666666666666666,0.020102040816326532,0.03749999999999999,0.003,6.972,0.00419891008174387,0.008333333333333331
2022-08-14 02:31:48.598776731 +0000 UTC m=+2160.830578084,1660444308,0.022857142857142854,0.006666666666666666,0.004573770491803278,0.5562,0.25,0.019214285714285715,0.0036666666666666666,13.840399999999999,0.0228,0.0032857142857142855,0.003272727272727273,0.004200000000000001,0.019473684210526317,0.06666666666666667,0.0036666666666666666,8.148,0.0047777777777777775,0.009391891891891891
2022-08-14 02:32:48.397334128 +0000 UTC m=+2220.629135482,1660444368,0.02205357142857143,0.0065,0.004194444444444444,0.624,0.5,0.013937499999999997,0.005,18.5604,0.0228,0.0035714285714285713,0.0036,0.0048,0.019072580645161288,0.05543478260869566,0.0035714285714285713,7.728,0.004522471910112359,0.009390243902439024
2022-08-14 02:33:48.525796629 +0000 UTC m=+2280.757597983,1660444428,0.02118421052631579,0.003,0.006082089552238806,0.56,0.25,0.009666666666666667,0.0036666666666666666,15.026266666666666,0.0212,0.003,0.003434782608695652,0.0032857142857142855,0.020833333333333336,0.0625,0.005,7.896,0.0045625,0.008625
2022-08-14 02:34:48.607096883 +0000 UTC m=+2340.838898236,1660444488,0.019285714285714285,0.0075,0.006791666666666667,0.4828,0.075,0.01196153846153846,0.006666666666666666,11.150133333333333,0.0228,0.0036666666666666666,0.004555555555555556,0.0075,0.020657894736842108,0.0034000000000000002,0.005,5.208,0.006844106463878328,0.007941176470588236
2022-08-14 02:35:48.446489221 +0000 UTC m=+2400.678290575,1660444548,0.022375,0.004,0.005285714285714286,0.4928666666666667,0.175,0.00915929203539823,0.004428571428571428,10.214799999999999,0.019600000000000003,0.003,0.003533333333333333,0.0041111111111111105,0.018780487804878048,0.004076923076923077,0.004,4.788,0.006972049689440993,0.008916666666666666
2022-08-14 02:36:48.351909365 +0000 UTC m=+2460.583710734,1660444608,0.0275735294117647,0.0075,0.007462686567164178,0.44393333333333335,0.175,0.009137168141592919,0.006666666666666666,11.412,0.0228,0.0034000000000000002,0.006538461538461538,0.004,0.020416666666666666,0.0062499999999999995,0.0034000000000000002,5.46,0.007319364161849711,0.012946428571428569
2022-08-14 02:37:48.57020418 +0000 UTC m=+2520.802005534,1660444668,0.022295081967213113,0.0075,0.006232876712328766,0.6504,0.225,0.009447115384615384,0.006666666666666666,13.065466666666667,0.0213,0.003,0.0035833333333333333,0.005,0.019954545454545454,0.0036666666666666666,0.003,7.224,0.004352785145888594,0.009226190476190475
2022-08-14 02:38:48.489161738 +0000 UTC m=+2580.720963092,1660444728,0.020817307692307694,0.006666666666666666,0.004225806451612903,0.7151333333333333,0.175,0.009015748031496063,0.0036666666666666666,14.5664,0.0228,0.0036666666666666666,0.003625,0.004,0.0211,0.01,0.0036666666666666666,7.56,0.004244582043343653,0.008875
2022-08-14 02:39:48.422717103 +0000 UTC m=+2640.654518457,1660444788,0.022880434782608695,0.007916666666666666,0.006677631578947368,0.6217999999999999,0.175,0.02,0.005,16.1156,0.021266666666666666,0.003769230769230769,0.0032,0.00625,0.020714285714285716,0.006250000000000004,0.0035714285714285713,8.064,0.0046406779661016945,0.009305555555555555
2022-08-14 02:40:48.437071898 +0000 UTC m=+2700.668873253,1660444848,0.019816176470588233,0.0075,0.005833333333333333,0.6256,0.3125,0.008076923076923077,0.006875,16.8792,0.0212,0.0032222222222222222,0.0034761904761904765,0.0035,0.01969827586206897,0.005,0.0035,7.98,0.004201017811704834,0.008557692307692308
2022-08-14 02:41:48.485200701 +0000 UTC m=+2760.717002064,1660444908,0.022594339622641506,0.0038000000000000004,0.004277777777777778,0.7172666666666666,0.2,0.008524590163934427,0.0038000000000000004,13.301066666666667,0.0228,0.003333333333333333,0.003363636363636364,0.0055,0.019344262295081967,0.05833333333333333,0.003333333333333333,6.972,0.00402051282051282,0.009268292682926829
2022-08-14 02:42:48.350382451 +0000 UTC m=+2820.582183808,1660444968,0.022794117647058822,0.0036666666666666666,0.00446875,0.5749333333333333,0.3125,0.01136363636363636,0.0045,15.246266666666667,0.0228,0.0032857142857142855,0.0031666666666666666,0.004,0.019,0.07,0.0036666666666666666,6.972,0.004342776203966006,0.009117647058823529
2022-08-14 02:43:48.350398161 +0000 UTC m=+2880.582199514,1660445028,0.020735294117647057,0.00625,0.006340579710144927,0.6460666666666667,0.25,0.0226923076923077,0.00625,11.908,0.0228,0.004,0.0035000000000000005,0.004,0.020053191489361702,0.1375,0.003,6.804,0.0043971631205673755,0.00945945945945946
2022-08-14 02:44:48.539084473 +0000 UTC m=+2940.770885830,1660445088,0.021111111111111112,0.0075,0.006947674418604651,0.5662666666666667,0.2125,0.031578947368421054,0.00625,11.9584,0.019600000000000003,0.0034000000000000002,0.0035714285714285718,0.004,0.019210526315789473,0.004,0.00625,7.14,0.0049136690647482014,0.008169642857142858
2022-08-14 02:45:48.339094603 +0000 UTC m=+3000.570895958,1660445148,0.020714285714285716,0.005,0.005048076923076923,0.5802666666666666,0.1375,0.014556962025316455,0.005,11.709333333333333,0.0232,0.003,0.0037777777777777783,0.004,0.020833333333333336,0.05,0.0075,6.384,0.006208053691275167,0.008666666666666666
2022-08-14 02:46:48.294153992 +0000 UTC m=+3060.525955347,1660445208,0.022916666666666665,0.0075,0.006779661016949152,0.4696666666666667,0.375,0.008732638888888889,0.00625,9.209200000000001,0.0232,0.005,0.005576923076923077,0.0075,0.021129032258064517,0.003,0.003,5.628,0.007143939393939394,0.009791666666666666
2022-08-14 02:47:48.539049224 +0000 UTC m=+3120.770850586,1660445268,0.021,0.0075,0.006516393442622951,0.4060666666666667,0.075,0.008051181102362203,0.00625,9.852133333333333,0.021066666666666668,0.0034000000000000002,0.003909090909090909,0.004,0.01923076923076923,0.003999999999999999,0.003,5.628,0.006204545454545455,0.00878048780487805
2022-08-14 02:48:48.271594323 +0000 UTC m=+3180.503395677,1660445328,0.021375,0.0035714285714285713,0.0038505747126436787,0.5851333333333333,0.19375,0.008671171171171171,0.00325,15.371866666666667,0.0228,0.00325,0.0035833333333333333,0.0053125,0.019344262295081967,0.00475,0.0035714285714285713,8.064,0.003922374429223744,0.008921568627450981
2022-08-14 02:49:48.55658148 +0000 UTC m=+3240.788382834,1660445388,0.02105263157894737,0.00875,0.006493055555555556,0.6781333333333334,0.25,0.011499999999999995,0.008,13.0172,0.0228,0.005,0.003090909090909091,0.005,0.019,0.0075,0.00625,7.896,0.004361702127659575,0.008953488372093024
2022-08-14 02:50:48.524777292 +0000 UTC m=+3300.756578656,1660445448,0.022155172413793105,0.0075,0.006455223880597015,0.563,0.175,0.007992125984251969,0.006666666666666666,15.701866666666668,0.0228,0.0036666666666666666,0.004428571428571428,0.00875,0.01861940298507463,0.004333333333333333,0.005,8.988,0.004706422018348624,0.009285714285714284
2022-08-14 02:51:48.639582792 +0000 UTC m=+3360.871384145,1660445508,0.022105263157894735,0.00625,0.004027777777777778,0.561,0.625,0.009159836065573771,0.0034000000000000002,13.430933333333332,0.0212,0.0034000000000000002,0.003857142857142857,0.004666666666666666,0.01966346153846154,0.075,0.004,7.14,0.00465558912386707,0.009189189189189189
2022-08-14 02:52:48.350748934 +0000 UTC m=+3420.582550287,1660445568,0.020657894736842104,0.008125,0.0039577464788732395,0.6770666666666667,0.175,0.011810344827586203,0.005416666666666667,16.0652,0.0212,0.003,0.0033157894736842108,0.0046,0.02232142857142857,0.008333333333333331,0.003,7.728,0.004320987654320987,0.008452380952380953
2022-08-14 02:53:48.455188987 +0000 UTC m=+3480.686990340,1660445628,0.022551020408163265,0.0075,0.006215277777777779,0.6375333333333333,0.3125,0.010357142857142865,0.005,15.293325331733012,0.021028571428571428,0.003,0.00332,0.005833333333333334,0.01864406779661017,0.05,0.0036666666666666666,6.72,0.00436936936936937,0.008979591836734694
2022-08-14 02:54:48.315032648 +0000 UTC m=+3540.546834001,1660445688,0.02453125,0.008,0.005833333333333334,0.6876666666666666,0.235,0.008915094339622641,0.00625,16.1092,0.0228,0.003181818181818182,0.0037826086956521737,0.005,0.020227272727272726,0.004666666666666666,0.0034000000000000002,7.056,0.004477011494252874,0.01
2022-08-14 02:55:48.436315347 +0000 UTC m=+3600.668116707,1660445748,0.02119047619047619,0.0045,0.003928571428571428,0.7015333333333333,0.175,0.009092920353982301,0.003333333333333333,16.003466666666668,0.0228,0.0035454545454545456,0.0033703703703703704,0.0035,0.01966101694915254,0.004857142857142858,0.005625,7.308,0.00475366568914956,0.008872549019607842
2022-08-14 02:56:48.587966113 +0000 UTC m=+3660.819767476,1660445808,0.021388888888888888,0.0075,0.005350877192982456,0.5756,0.175,0.00826271186440678,0.006,15.811866666666667,0.019600000000000003,0.0031333333333333335,0.0037619047619047623,0.003923076923076923,0.020909090909090905,0.009166666666666668,0.0032857142857142855,7.14,0.004708609271523179,0.00877906976744186
2022-08-14 02:57:48.459878001 +0000 UTC m=+3720.691679356,1660445868,0.021666666666666664,,0.006458333333333333,0.47946666666666665,0.175,0.009505494505494505,,2.6413333333333333,0.0213,,0.0032,,0.0203125,,,3.948,0.0059688995215311,0.008977272727272726
2022-08-14 02:58:48.738513885 +0000 UTC m=+3780.970315248,1660445928,0.019545454545454546,,0.0055,0.1374,0.25,0.007314814814814815,,3.4049333333333336,0.0228,,0.004,,0.021,,,2.436,0.0068262411347517725,0.006666666666666667
2022-08-14 02:59:48.636993378 +0000 UTC m=+3840.868794740,1660445988,0.02125,0.0075,0.006805555555555555,0.14873333333333333,0.175,0.009736842105263158,0.0075,3.981866666666667,0.0228,0.003,0.005833333333333333,0.0036666666666666666,0.02125,0.005,0.003,2.184,0.007484177215189874,0.010681818181818181
2022-08-14 03:00:48.629308977 +0000 UTC m=+3900.861110331,1660446048,0.02125,0.007,0.006794871794871795,0.2829333333333333,0.205,0.008566666666666667,0.005,13.287600000000001,0.019600000000000003,0.003181818181818182,0.0035714285714285713,0.0075,0.018333333333333337,0.009166666666666668,0.0034000000000000002,4.956,0.005445859872611466,0.008529411764705883
2022-08-14 03:01:48.686723957 +0000 UTC m=+3960.918525318,1660446108,0.0205,0.0036666666666666666,0.004027777777777778,0.6672666666666667,0.175,0.00710820895522388,0.005,11.822133333333333,0.021866666666666666,0.003,0.003434782608695652,0.0035,0.020294117647058827,0.065,0.003,6.636,0.004201072386058981,0.008315217391304348
2022-08-14 03:02:48.660304503 +0000 UTC m=+4020.892105857,1660446168,0.022631578947368423,0.0075,0.006463414634146341,0.5912000000000001,0.3125,0.007790697674418604,0.006666666666666666,14.056133333333333,0.020666666666666667,0.005,0.0036,0.0075,0.02171875,0.004666666666666666,0.005,7.812,0.005459866220735786,0.009619565217391305
2022-08-14 03:03:48.541640521 +0000 UTC m=+4080.773441883,1660446228,0.019923076923076925,0.005833333333333333,0.00625,0.6358666666666667,0.175,0.00897887323943662,0.0061111111111111106,15.347733333333334,0.021866666666666666,0.0045,0.0037368421052631578,0.007058823529411764,0.01981818181818182,0.00875,0.003333333333333333,8.484,0.004672839506172839,0.008125
2022-08-14 03:04:48.729785124 +0000 UTC m=+4140.961586480,1660446288,0.020982142857142855,0.0038000000000000004,0.004353846153846154,0.5458666666666667,0.375,0.013482142857142857,0.0038000000000000004,14.636666666666667,0.0228,0.0031538461538461538,0.003625,0.004,0.020416666666666663,0.004875,0.003,8.232,0.004128491620111732,0.008802083333333332
2022-08-14 03:05:48.455015135 +0000 UTC m=+4200.686816489,1660446348,0.0218421052631579,0.007083333333333334,0.00625,0.6638666666666667,0.205,0.00854,0.0045,15.127733333333333,0.0228,0.0031538461538461538,0.003258064516129032,0.005,0.019545454545454546,0.006250000000000004,0.003333333333333333,6.804,0.004667711598746082,0.00846590909090909
2022-08-14 03:06:48.559996368 +0000 UTC m=+4260.791797722,1660446408,0.021919642857142853,0.00625,0.006521739130434783,0.6018,0.175,0.009182242990654206,0.005,15.444266666666666,0.0228,0.003,0.003260869565217391,0.0035555555555555557,0.019605263157894737,0.05961538461538461,0.0034000000000000002,7.98,0.004159029649595688,0.00865
2022-08-14 03:07:48.456172139 +0000 UTC m=+4320.687973493,1660446468,0.021944444444444444,0.00875,0.004533333333333333,0.5598666666666666,0.175,0.009485981308411216,0.005,16.4456,0.019600000000000003,0.003,0.003521739130434782,0.0038571428571428567,0.01972222222222222,0.05416666666666666,0.004,7.308,0.0042994350282485865,0.00903409090909091
2022-08-14 03:08:48.508982027 +0000 UTC m=+4380.740783381,1660446528,0.022397959183673467,0.006875,0.006633333333333333,0.7218,0.175,0.008971962616822432,0.005833333333333333,13.621866666666667,0.019600000000000003,0.0035,0.004857142857142858,0.004333333333333334,0.02046875,0.004076923076923077,0.004333333333333333,6.888,0.004800687285223368,0.00859375
2022-08-14 03:09:48.607512805 +0000 UTC m=+4440.839314159,1660446588,0.021666666666666664,0.0075,0.00691358024691358,0.6715333333333333,0.41666666666666663,0.04375,0.006666666666666666,14.181066666666668,0.0228,0.0032857142857142855,0.0034166666666666664,0.005357142857142857,0.02046875,0.0044,0.0036666666666666666,6.972,0.0051394849785407724,0.00925
2022-08-14 03:10:48.270939974 +0000 UTC m=+4500.502741328,1660446648,0.021315789473684208,0.004,0.004689655172413793,0.5267999999999999,0.2125,0.009439252336448597,0.004,14.7204,0.0212,0.003666666666666667,0.0034,0.005,0.01930555555555556,0.058823529411764705,0.004,6.972,0.005228260869565217,0.00877906976744186
2022-08-14 03:11:48.6424282 +0000 UTC m=+4560.874229554,1660446708,0.020238095238095236,0.005,0.0036744186046511625,0.6831333333333334,0.2,0.01,0.006666666666666666,14.5444,0.0212,0.005,0.004047619047619047,0.003,0.0194811320754717,0.0035,0.005,7.392,0.004044155844155844,0.007892156862745097
2022-08-14 03:12:48.36724753 +0000 UTC m=+4620.599048883,1660446768,0.023695652173913038,0.006875,0.006484375,0.6815333333333333,0.225,0.008837719298245615,0.0064285714285714285,13.897200000000002,0.0228,0.004333333333333333,0.0035600000000000002,0.0059375,0.01908653846153846,0.05,0.0035,7.14,0.004832214765100672,0.0090625
2022-08-14 03:13:48.409879745 +0000 UTC m=+4680.641681098,1660446828,0.020474137931034486,0.0075,0.006512345679012346,0.6218666666666667,0.25,0.016290322580645167,0.005,12.323866666666667,0.0213,0.003,0.0035000000000000005,0.004,0.01924107142857143,0.08333333333333333,0.0075,7.224,0.004574603174603174,0.008804347826086956
2022-08-14 03:14:48.542946754 +0000 UTC m=+4740.774748108,1660446888,0.021120689655172414,0.0075,0.004965517241379311,0.5922000000000001,0.375,0.011458333333333329,0.006,13.021466666666667,0.0228,0.003,0.0037199999999999998,0.003769230769230769,0.01994897959183673,0.004666666666666666,0.0036666666666666666,6.468,0.004843648208469055,0.009573170731707319
2022-08-14 03:15:48.538307295 +0000 UTC m=+4800.770108648,1660446948,0.0205,0.00625,0.004027027027027026,0.6902666666666667,0.2125,0.012647058823529412,0.0034000000000000002,15.422266666666667,0.0228,0.003,0.003909090909090909,0.004200000000000001,0.019899999999999998,0.007499999999999998,0.003,7.392,0.004257617728531857,0.008191489361702128
