time,timestamp,frontend_recommendationservice,checkoutservice_emailservice,frontend_cartservice,cartservice_redis-cart,frontend_checkoutservice,frontend_currencyservice,checkoutservice_cartservice,productcatalogservice_mysql,gateway_nats,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_productcatalogservice,frontend_adservice,checkoutservice_currencyservice,checkoutservice_paymentservice,adservice_mysql,frontend_productcatalogservice,recommendationservice_productcatalogservice
2022-08-14 01:55:48.537879465 +0000 UTC m=+0.769680825,1660442148,0.022403846153846153,0.0075,0.004344262295081967,0.6599333333333333,0.225,0.009508928571428571,0.0036666666666666666,13.289733333333334,0.0228,0.003,0.0030952380952380953,0.003,0.017717391304347827,0.01,0.003,7.644,0.003773869346733668,0.009
2022-08-14 01:56:48.470572722 +0000 UTC m=+60.702374075,1660442208,0.021971153846153845,0.0075,0.0048,0.712,0.175,0.026358695652173907,0.003,14.084533333333333,0.0228,0.003,0.0030714285714285717,0.005,0.0176171875,0.005,0.003,6.972,0.003618266978922717,0.010775862068965518
2022-08-14 01:57:48.416111918 +0000 UTC m=+120.647913279,1660442268,0.01977272727272727,0.006666666666666666,0.004212121212121212,0.6300666666666668,0.375,0.016465517241379315,0.0036666666666666666,13.254933333333332,0.0228,0.0032857142857142855,0.0030869565217391303,0.005,0.017608695652173913,0.02,0.003,7.14,0.003647619047619048,0.0083125
2022-08-14 01:58:48.276166633 +0000 UTC m=+180.507967987,1660442328,0.024642857142857143,0.004,0.004709090909090909,0.6952,0.28125,0.054878048780487805,0.004,14.234266666666667,0.0228,0.0034000000000000002,0.00425,0.003333333333333333,0.01894736842105263,0.075,0.003,6.888,0.004927007299270073,0.009488636363636364
2022-08-14 01:59:48.282473873 +0000 UTC m=+240.514275226,1660442388,0.02137931034482759,0.0075,0.005737704918032787,0.5992666666666666,0.375,0.00873015873015873,0.006666666666666666,14.626,0.0228,0.0034000000000000002,0.004200000000000001,0.007,0.02078125,0.025,0.005,8.232,0.004659305993690852,0.008928571428571428
2022-08-14 02:00:48.306648937 +0000 UTC m=+300.538450290,1660442448,0.021682692307692306,0.0075,0.006587837837837837,0.6959333333333333,0.25,0.008545454545454547,0.0075,11.346666666666666,,0.003,0.003909090909090909,0.00625,0.01976744186046512,0.0625,0.0075,6.636,0.004718213058419245,0.009256756756756756
2022-08-14 02:01:48.267047561 +0000 UTC m=+360.498848916,1660442508,0.0203125,0.004200000000000001,0.004320754716981131,0.5378,0.205,0.0075245098039215695,0.003999999999999999,14.251333333333333,,0.003999999999999999,0.0036666666666666666,0.004666666666666666,0.020892857142857144,0.03750000000000004,0.00325,7.056,0.00419869706840391,0.008974358974358974
2022-08-14 02:02:48.446457018 +0000 UTC m=+420.678258372,1660442568,0.020657894736842108,0.003,0.004138461538461538,0.595,0.225,0.009842105263157893,0.003,12.356533333333333,,0.003,0.00423076923076923,0.004,0.019409090909090907,0.03749999999999999,0.003,7.56,0.004167173252279635,0.008783783783783783
2022-08-14 02:03:48.473825667 +0000 UTC m=+480.705627020,1660442628,0.021971153846153845,0.0071875,0.006401515151515151,0.6561333333333333,0.175,0.008194444444444445,0.00625,15.449200000000001,0.0214,0.0034,0.003625,0.003909090909090909,0.02086734693877551,0.004571428571428571,0.00325,7.476,0.0045813953488372085,0.009054054054054052
2022-08-14 02:04:48.604232403 +0000 UTC m=+540.836033758,1660442688,0.01995689655172414,0.0175,0.0060416666666666665,0.6937333333333333,0.175,0.009791666666666667,0.005,12.414,0.0228,0.003,0.003636363636363637,0.003,0.019339622641509437,0.005,0.0075,7.224,0.004253918495297806,0.008697916666666666
2022-08-14 02:05:48.529140518 +0000 UTC m=+600.760941895,1660442748,0.022125,0.003,0.005,0.6954666666666667,0.3125,0.036413043478260874,0.004,14.088799999999999,0.0228,0.003,0.0041,0.0038000000000000004,0.018875,0.01,0.003,7.644,0.004520833333333334,0.009358974358974358
2022-08-14 02:06:48.537815581 +0000 UTC m=+660.769616934,1660442808,0.020454545454545458,0.0075,0.006027397260273973,0.5962666666666666,0.2125,0.00894396551724138,0.006666666666666666,15.613866666666667,0.02283333333333333,0.0032857142857142855,0.003380952380952381,0.003333333333333333,0.018522727272727274,0.01749999999999999,0.006666666666666666,8.4,0.00400726392251816,0.008815789473684211
2022-08-14 02:07:48.462513054 +0000 UTC m=+720.694314407,1660442868,0.02137931034482759,0.01,0.006442307692307692,0.6856,0.175,0.0235576923076923,0.008333333333333331,14.810533333333332,0.02283333333333333,0.0075,0.003521739130434782,0.00625,0.0194811320754717,0.004333333333333333,0.005,6.552,0.004168478260869564,0.008136363636363636
2022-08-14 02:08:48.494543846 +0000 UTC m=+780.726345200,1660442928,0.019857142857142858,0.0036666666666666666,0.0041025641025641026,0.6978666666666666,0.175,0.008625,0.004200000000000001,16.2256,,0.0036666666666666666,0.0034000000000000002,0.0036,0.021105769230769234,0.0044,0.005,8.82,0.004105386416861827,0.0083
2022-08-14 02:09:48.500173689 +0000 UTC m=+840.731975043,1660442988,0.020887096774193543,0.00625,0.0047,0.7903333333333333,0.25,0.010428571428571428,0.0034000000000000002,13.360666666666667,0.0212,0.004,0.00348,0.0075,0.01814655172413793,0.005,0.004,7.056,0.004519061583577713,0.008944444444444442
2022-08-14 02:10:48.430684951 +0000 UTC m=+900.662486315,1660443048,0.020078125,0.0075,0.0061805555555555555,0.628,0.175,0.00923828125,0.0036666666666666666,14.744533333333333,0.019600000000000003,0.004200000000000001,0.0035714285714285718,0.0041111111111111105,0.019125,0.01,0.006666666666666666,7.812,0.004220055710306406,0.00816326530612245
2022-08-14 02:11:48.399148013 +0000 UTC m=+960.630949367,1660443108,0.022,0.0075,0.0068529411764705886,0.7451333333333333,0.3125,0.008474576271186439,0.007,14.894266666666667,0.019600000000000003,0.003666666666666667,0.004375,0.004428571428571428,0.020178571428571428,0.0042727272727272735,0.0034000000000000002,8.232,0.004316195372750643,0.008333333333333333
2022-08-14 02:12:48.435766283 +0000 UTC m=+1020.667567637,1660443168,0.02170731707317073,0.003,0.007008928571428571,0.4748,0.2125,0.011237864077669902,0.003,9.094933333333332,0.02142222222222222,0.003,0.006538461538461538,0.003,0.0184375,0.003,0.003,4.536,0.007826747720364742,0.01
