Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2022-08-14 01:55:48.124320911 +0000 UTC m=+0.356122264,1660442148,emailservice-55fdc5b988-rdcjs,0.2762619598350736,1.3813097991753678,24.96875,4.876708984375,0,0,1276.6612641815234,26283.7925445705,0.0046,0.0046,0.004799999999999999,0.004799999999999999,0.004960000000000001,0.004960000000000001,0.13333333333333333,0,9.744266201432817,26.821067576418816,286102.6666666667
2022-08-14 01:56:48.089190682 +0000 UTC m=+60.320992035,1660442208,emailservice-55fdc5b988-rdcjs,0.32159134697202685,1.6079567348601342,24.96875,4.876708984375,0,0,856.4949294195586,12574.52988839627,0.0046,0.0046,0.004799999999999999,0.0048,0.004960000000000001,0.00496,0.06666666666666667,0,8.761174968027463,26.827532118406015,296779.8333333333
2022-08-14 01:57:48.145702819 +0000 UTC m=+120.377504175,1660442268,emailservice-55fdc5b988-rdcjs,0.2351678739061685,1.1758393695308424,24.96875,4.876708984375,0,0,1077.3301970008822,18122.39047339018,0.0046,0.0046,0.004799999999999999,0.004799999999999999,0.004960000000000001,0.004960000000000001,0.26666666666666666,0,9.24076985170067,26.939868781994907,291698.26666666666
2022-08-14 01:58:48.061752815 +0000 UTC m=+180.293554168,1660442328,emailservice-55fdc5b988-rdcjs,0.15522916132433404,0.7761136457727742,24.96875,4.876708984375,0,0,961.9427558257346,15676.735055724417,0.0046,0.007000000000000004,0.0048,0.0085,0.00496,0.009699999999999999,0.26666666666666666,0,81.24894514785737,38.363958592778985,4312016.066666666
2022-08-14 01:59:48.035855619 +0000 UTC m=+240.267656975,1660442388,emailservice-55fdc5b988-rdcjs,0.16978630432710484,0.8489315216355242,24.96875,4.876708984375,0,0,852.2423369677022,12742.388397449085,0.0046,0.0046,0.0048,0.0048,0.00496,0.00496,0.26666666666666666,0,54.52992183176991,42.73103724186047,4032383.5
2022-08-14 02:00:48.074136372 +0000 UTC m=+300.305937732,1660442448,emailservice-55fdc5b988-rdcjs,0.16738400641710546,0.8369200320855273,24.96875,4.876708984375,0,0,1097.058574213783,20695.34627447656,0.0046,0.0046,0.004799999999999999,0.004799999999999999,0.004960000000000001,0.004960000000000001,0,0,18.83951682503372,47.0134913771548,3760276.066666667
2022-08-14 02:01:48.056669904 +0000 UTC m=+360.288471260,1660442508,emailservice-55fdc5b988-rdcjs,0.17373199486457747,0.8686599743228872,24.96875,4.876708984375,0,0,1081.5536013400335,25417.97529313233,0.0044,0.0046,0.004699999999999999,0.0048,0.004939999999999999,0.00496,0.5333333333333333,0,46.74033620650132,49.84035020741422,4144775.5
2022-08-14 02:02:48.229454514 +0000 UTC m=+420.461255880,1660442568,emailservice-55fdc5b988-rdcjs,0.16744268180038563,0.837213409001928,24.96875,4.876708984375,0,0,522.7140602939955,482.5180632837804,0.004199999999999999,0.0046,0.0046,0.004799999999999999,0.00492,0.004960000000000001,0.2,0,80.20696937749977,49.862207677680374,3931404.466666667
2022-08-14 02:03:48.265252691 +0000 UTC m=+480.497054046,1660442628,emailservice-55fdc5b988-rdcjs,0.24384392747577632,1.2192196373788815,24.96875,4.876708984375,0,0,985.7106142379852,12793.472115137498,0.0046,0.005,0.0048,0.0075,0.00496,0.009499999999999996,0.6666666666666666,0,18.51147512651029,49.94761281540561,4216481
2022-08-14 02:04:48.343528112 +0000 UTC m=+540.575329467,1660442688,emailservice-55fdc5b988-rdcjs,0.1484760091960359,0.7423500079442232,24.96875,4.876708984375,0,0,809.4464248270077,12998.112811910254,NaN,NaN,NaN,NaN,NaN,NaN,0.06666666666666667,0,18.821758761541496,49.93414705247379,3983715.466666667
